"season_batting_team_id","r_per_g_presep"
"2018_ARI",4.40740740740741
"2018_LAD",4.72592592592593
"2018_COL",4.65671641791045
"2018_SFG",3.92647058823529
"2018_SDP",3.82481751824818
"2019_NYY",5.81751824817518
"2019_TBR",4.68613138686131
"2019_BOS",5.77205882352941
"2019_TOR",4.46715328467153
"2019_BAL",4.42962962962963
"2019_MIN",5.94074074074074
"2019_CLE",4.69117647058824
"2019_CHW",4.20740740740741
"2019_KCR",4.24817518248175
"2019_DET",3.64179104477612
"2019_HOU",5.59124087591241
"2019_OAK",5.16176470588235
"2019_TEX",4.94890510948905
"2019_LAA",5.01459854014599
"2019_SEA",4.82481751824818
"2019_ATL",5.37226277372263
"2019_WSN",5.37313432835821
"2019_PHI",4.86567164179105
"2019_NYM",4.82222222222222
"2019_MIA",3.6962962962963
